LoRa Sender
The values inside the EEPROM are : 
0 22 20 42 52 38 56 
1 23 19 42 56 45 56 
2 23 19 42 56 45 55 
3 23 19 38 56 45 56 
4 23 19 42 56 45 56 
5 23 19 37 56 45 56 
6 23 19 42 56 45 56 
7 23 19 36 56 45 56 
8 23 19 40 56 45 56 
9 23 19 41 55 45 56 
10 23 19 37 55 45 56 
11 23 19 36 55 44 56 
12 23 19 41 55 44 56 
13 23 19 34 55 44 56 
14 23 19 35 55 44 56 
15 23 19 34 55 44 56 
16 23 19 34 55 44 56 
17 23 19 34 55 44 56 
18 23 19 40 55 44 56 
19 23 19 41 55 44 56 
20 23 19 35 55 44 56 
21 23 19 37 55 44 56 
22 23 19 36 55 44 56 
23 23 19 41 54 44 56 
24 23 19 35 54 44 56 
25 23 19 41 54 44 56 
26 23 19 41 54 44 56 
27 23 19 34 54 44 57 
28 23 19 34 54 44 56 
29 23 19 42 54 44 56 
30 23 19 34 54 44 57 
31 23 19 42 54 44 56 
32 23 19 35 54 44 56 
