LoRa Sender
The values inside the EEPROM are : 
19 39 21 101 81 107 82 
1 34 20 36 19 105 82 
2 34 20 32 19 109 82 3 34 20 32 19 110 82 4 34 20 36 19 112 82 5 34 20 33 19 111 82 6 34 20 44 19 109 82 7 34 20 37 19 106 82 8 34 20 33 19 103 82 9 34 20 32 19 100 82 10 34 20 42 19 101 82 
11 34 20 43 20 101 82 
12 34 20 46 20 102 82 13 34 20 34 20 102 82 14 34 20 43 20 103 82 15 34 20 45 20 103 82 16 34 20 39 20 101 82 17 34 20 36 20 100 82 18 34 20 42 20 102 81 19 34 20 39 20 100 81 20 34 20 41 20 100 81 21 34 20 50 20 100 82 22 34 20 32 20 101 81 23 34 20 37 20 102 81 24 34 20 36 20 103 82 25 34 20 44 20 100 81 26 34 20 37 20 99 81 27 34 20 40 20 98 82 28 34 20 32 20 97 81 29 35 19 33 20 98 81 30 35 19 37 20 99 81 31 35 19 40 20 97 82 32 35 19 37 20 98 81 33 35 19 43 20 100 82 34 35 19 39 20 98 81 35 35 19 40 20 98 81 36 35 19 34 20 99 82 37 35 19 37 20 97 81 38 35 19 35 20 97 81 39 35 19 40 20 98 81 40 35 19 35 20 97 82 41 35 19 46 20 99 82 42 35 19 37 20 100 81 43 35 19 43 20 105 82 44 35 19 37 20 108 82 45 35 19 39 20 102 81 46 35 19 35 20 105 82 47 35 19 50 20 105 82 48 35 19 42 20 98 82 49 35 19 32 20 100 82 50 35 19 34 20 101 82 51 35 19 32 20 101 82 52 35 19 33 20 99 82 53 35 19 41 20 100 81 54 35 19 36 20 96 81 55 35 19 43 20 98 81 56 35 19 32 20 93 82 57 35 19 33 20 93 82 
58 35 19 36 20 104 81 
59 35 19 34 20 89 81 
60 35 19 41 20 95 81 
61 35 19 40 20 93 82 
62 35 19 33 20 92 82 
63 35 19 35 20 90 81 
64 35 19 39 20 87 81 
65 35 19 34 20 88 81 
66 35 19 42 20 91 81 
67 35 19 40 20 89 81 
68 35 19 34 20 87 81 
69 35 19 35 20 89 81 
70 35 19 34 20 90 81 
71 35 19 41 20 92 81 
72 35 19 49 20 90 81 
73 35 19 38 21 90 81 
74 35 19 35 21 91 81 
75 35 19 39 20 91 81 
76 36 19 45 21 91 81 
77 36 19 34 20 92 81 
78 36 19 33 21 101 81 
79 36 19 40 21 98 81 
80 36 19 34 21 104 81 
81 36 19 51 21 102 81 
82 36 19 43 21 103 81 
83 36 19 43 21 102 81 
84 36 19 39 21 102 81 
85 36 19 36 21 102 81 
86 36 19 42 21 101 81 
87 36 19 35 21 100 81 
88 36 19 43 21 102 81 
89 36 19 36 21 99 81 
90 36 19 42 21 99 81 
91 36 19 34 21 101 81 
92 36 19 42 21 100 81 
93 36 19 41 21 100 81 
94 36 19 32 21 99 81 
95 36 19 41 21 100 81 
96 36 19 41 21 100 81 
97 36 19 43 21 100 81 
98 36 19 47 21 100 81 
99 36 19 38 21 98 81 
100 36 19 41 21 99 81 
101 36 19 43 21 100 81 
102 36 19 35 21 100 81 
103 36 19 49 21 100 81 
104 36 19 37 21 100 81 
105 36 19 36 21 100 81 
106 36 19 34 21 100 81 
107 36 19 51 21 98 81 
108 36 19 36 21 99 81 
109 36 19 42 21 100 81 
110 36 19 36 21 99 81 
111 36 19 35 21 101 81 
112 36 19 33 21 101 81 
113 36 19 34 21 101 81 
114 36 19 32 21 100 81 
115 36 19 39 21 99 81 
116 36 19 32 21 99 81 
117 36 19 45 21 99 81 118 36 19 37 21 100 81 119 36 19 35 21 99 81 120 36 19 32 21 99 81 121 36 19 44 21 101 81 122 36 19 34 21 101 81 123 36 19 42 21 101 81 124 36 19 42 21 101 81 125 36 19 37 21 102 81 126 36 19 42 21 103 81 127 36 19 43 21 103 81 128 36 19 33 21 101 81 129 36 19 32 21 100 81 130 36 19 43 21 100 81 131 36 19 37 21 100 81 132 36 19 39 21 100 81 133 36 19 51 21 101 81 134 36 19 36 21 100 81 135 36 19 38 21 100 81 136 36 19 34 21 99 81 137 36 19 43 21 98 81 138 36 19 33 21 98 81 139 36 19 34 21 98 81 140 36 19 42 21 98 81 141 36 19 36 21 98 81 142 36 19 48 21 98 81 143 36 19 42 21 98 81 144 36 19 35 21 97 81 145 36 19 42 21 99 81 146 36  
