LoRa Receiver
The values inside the EEPROM are : 
0 0 62 1 96 1 2 
1 1 62 1 103 1 3 
2 2 62 1 103 1 4 
3 3 62 1 95 1 4 
4 4 62 1 103 1 2 
5 5 62 1 95 1 5 
6 6 62 1 95 1 4 
7 7 62 1 103 1 3 
8 8 62 1 104 1 2 
9 9 62 1 103 1 3 
10 10 62 1 103 1 3 
11 11 62 1 103 1 3 
12 12 62 1 103 1 3 
13 13 62 1 103 1 3 
14 14 62 1 103 1 2 
15 15 62 1 94 1 5 
16 16 62 1 103 1 4 
17 17 61 1 103 1 3 
18 18 61 1 95 1 4 
19 19 61 1 103 1 4 
20 20 61 1 103 1 3 
21 21 61 1 104 1 3 
22 22 61 1 104 1 3 
23 23 61 1 104 1 3 
24 24 61 1 103 1 2 
25 25 61 1 95 1 4 
26 26 61 1 104 1 3 
27 27 61 1 103 1 2 
28 28 61 1 104 1 2 
29 29 61 1 103 1 3 
30 30 61 1 103 1 3 
31 31 61 1 103 1 2 
32 32 61 1 103 1 2 
33 33 61 1 104 1 3 
34 34 61 1 103 1 2 
35 35 61 1 95 1 4 
36 36 61 1 103 1 2 
37 37 61 1 103 1 2 
38 38 61 1 103 1 2 
39 39 61 1 103 1 2 
40 40 61 1 103 1 3 
41 41 61 1 103 1 3 
42 42 61 1 103 1 3 
43 43 61 1 103 1 3 
44 44 61 1 103 1 3 
45 45 61 1 103 1 3 
46 46 61 1 103 1 3 
47 47 61 1 103 1 4 
48 48 61 1 103 1 3 
49 49 61 1 103 1 3 
50 50 61 1 103 1 3 
51 51 61 1 103 1 3 
52 52 61 1 103 1 3 
53 53 61 1 103 1 3 
54 54 61 1 103 1 3 
55 55 61 1 103 1 3 
56 56 61 1 104 1 3 
57 57 61 1 103 1 3 
58 58 61 1 103 1 3 
59 59 61 1 103 1 4 
60 60 61 1 103 1 3 
61 61 61 1 103 1 2 
62 62 61 1 95 1 4 
63 63 61 1 104 1 3 
64 64 61 1 94 1 4 
65 65 61 1 103 1 4 
66 66 61 1 103 1 3 
67 67 61 1 103 1 3 
68 68 61 1 103 1 3 
69 69 61 1 103 1 3 
70 70 61 1 103 1 3 
71 71 61 1 103 1 2 
72 72 61 1 104 1 3 
73 73 61 1 103 1 2 
74 74 60 1 103 1 2 
75 75 60 1 104 1 2 
76 76 60 1 104 1 2 
77 77 60 1 103 1 2 
78 78 60 1 103 1 3 
79 79 60 1 103 1 2 
80 80 60 1 103 1 2 
81 81 60 1 103 1 2 
82 82 60 1 103 1 3 
83 83 60 1 103 1 3 
84 84 60 1 95 1 4 
85 85 60 1 104 1 3 
86 86 60 1 103 1 3 
87 87 60 1 104 1 3 
88 88 60 1 103 1 2 
89 89 60 1 103 1 2 
90 90 60 1 104 1 3 
91 91 60 1 103 1 4 
92 93 60 1 103 1 3 

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  
