LoRa Receiver
The values inside the EEPROM are : 
0 5 95 1 97 1 10 
1 1 95 1 97 1 10 
2 0 95 1 107 1 8 
3 3 95 1 105 1 8 
4 4 95 1 106 1 5 
5 5 95 1 107 1 8 
6 7 95 1 97 1 8 
7 8 95 1 108 1 6 
8 9 94 1 108 1 8 
9 15 94 1 96 1 9 
10 16 94 1 98 1 9 
11 17 94 1 106 1 7 12 18 94 1 106 1 7 13 19 94 1 107 1 7 14 0 94 1 107 1 9 15 0 94 1 110 1 9 16 34 94 1 92 1 9 17 35 94 1 106 1 6 18 36 94 1 105 1 3 19 37 94 1 106 1 5 20 0 94 1 99 1 10 21 41 94 1 100 1 9 22 42 93 1 94 1 10 23 43 94 1 106 1 7 24 44 94 1 106 1 7 25 45 94 1 97 1 8 26 4 94 1 95 1 10 27 46 94 1 95 1 10 28 48 94 1 107 1 8 29 49 94 1 106 1 7 30 50 94 1 108 1 7 31 5 94 1 106 1 8 32 52 94 1 106 1 7 33 53 94 1 105 1 6 34 54 94 1 105 1 6 35 55 94 1 94 1 9 36 0 94 1 94 1 10 37 58 94 1 98 1 9 38 0 94 1 95 1 10 39 60 94 1 100 1 9 40 62 94 1 100 1 10 41 63 94 1 107 1 8 42 64 93 1 97 1 8 43 65 94 1 97 1 9 44 6 94 1 108 1 8 45 67 94 1 100 1 8 46 68 94 1 99 1 7 47 69 94 1 95 1 8 48 70 94 1 98 1 7 49 71 94 1 107 1 5 50 72 93 1 95 1 8 51 73 93 1 108 1 7 52 74 93 1 107 1 6 53 75 93 1 100 1 9 54 76 93 1 108 1 7 55 3 93 1 100 1 10 56 79 93 1 107 1 8 57 80 93 1 107 1 8 58 81 93 1 107 1 8 59 82 93 1 108 1 8 60 0 93 1 108 1 10 61 84 93 1 109 1 6 62 85 93 1 108 1 8 63 87 93 1 99 1 9 64 88 93 1 107 1 7 65 89 93 1 108 1 8 66 90 93 1 107 1 8 67 91 94 1 107 1 7 68 92 93 1 106 1 8 69 0 93 1 107 1 8 70 8 93 1 92 1 10 71 120 93 1 108 1 5 72 121 93 1 107 1 7 73 122 93 1 106 1 6 74 124 93 1 106 1 6 75 125 93 1 107 1 8 76 126 93 1 97 1 9 77 127 93 1 106 1 7 78 129 93 1 106 1 7 79 130 93 1 107 1 9 80 131 93 1 107 1 8 81 133 93 1 95 1 10 82 1 93 1 99 1 9 83 135 93 1 99 1 10 84 136 93 1 107 1 9 85 8 93 1 100 1 10 86 139 93 1 107 1 7 87 140 93 1 107 1 7 88 141 93 1 99 1 9 89 142 93 1 107 1 8 90 144 93 1 107 1 7 91 145 93 1 107 1 8 92 146 93 1 106 1 7 93 146 93 1 105 1 7 94 146 93 1 107 1 8 95 146 93 1 107 1 7 96 146 93 1 106 1 7 97 146 93 1 106 1 7 98 146 93 1 106 1 6 99 146 94 1 106 1 6 100 146 94 1 106 1 7 101 146 94 1 107 1 7 102 146 94 1 106 1 6 103 146 94 1 107 1 7 104 146 94 1 106 1 6 105 146 94 1 107 1 7 106 146 94 1 96 1 9 107 146 94 1 107 1 7 108 146 94 1 97 1 7 109 146 94 1 106 1 7 110 146 94 1 106 1 7 111 146 94 1 106 1 6 112 146 93 1 106 1 7 113 146 93 1 107 1 8 114 146 93 1 106 1 7 115 146 94 1 106 1 7 116 146 94 1 98 1 9 117 146 94 1 107 1 8 118 146 94 1 107 1 7 119 146 94 1 107 1 9 120 146 94 1 106 1 8 121 0 94 1 107 1 8 122 146 94 1 108 1 6 123 146 94 1 107 1 8 124 0 94 1 98 1 10 125 14 94 1 97 1 9 126 146 94 1 99 1 9 127 146 93 1 107 1 7 128 146 93 1 97 1 9 129 146 93 1 106 1 6 130 146 93 1 106 1 8 131 146 93 1 100 0 4 132 146 93 1 98 0 5 133 0 94 1 94 1 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  
