LoRa Receiver
The values inside the EEPROM are : 
99 1 105 1 5 
147 146 98 1 105 1 6 
148 146 98 1 105 1 5 
149 146 99 1 105 1 5 
150 146 99 1 97 1 7 
151 146 99 1 105 1 5 
152 146 98 1 105 1 5 
153 146 98 1 105 1 5 
154 146 98 1 105 1 6 
155 146 99 1 105 1 5 
156 146 99 1 105 1 5 
157 146 98 1 105 1 4 
158 146 99 1 106 1 5 
159 146 99 1 104 1 5 
160 146 99 1 105 1 5 
161 146 99 1 105 1 5 
162 146 99 1 105 1 5 
163 146 99 1 97 1 6 
164 146 99 1 105 1 6 
165 146 98 1 97 1 6 
166 146 99 1 105 1 5 
167 146 99 1 105 1 6 
168 146 99 1 97 1 7 
169 146 99 1 105 1 6 
170 146 99 1 97 1 7 
171 146 99 1 105 1 6 
172 146 99 1 105 1 5 
173 146 99 1 97 1 6 
174 146 99 1 97 1 6 
175 146 99 1 106 1 5 
176 146 99 1 105 1 5 
177 146 98 1 97 1 6 
178 146 98 1 105 1 5 
179 146 98 1 105 1 5 
180 146 98 1 106 1 6 
181 146 98 1 105 1 6 
182 146 98 1 97 1 7 
183 146 98 1 105 1 5 
184 146 98 1 105 1 5 
185 146 98 1 106 1 5 
186 146 98 1 105 1 5 
187 146 98 1 105 1 5 
188 146 99 1 105 1 4 
189 146 98 1 105 1 5 
190 146 99 1 105 1 5 
191 146 98 1 97 1 8 
192 146 98 1 97 1 6 
193 146 98 1 105 1 5 
194 146 98 1 105 1 5 
195 146 98 1 106 1 6 
196 146 98 1 105 1 5 
197 146 98 1 105 1 5 
198 146 98 1 105 1 5 
199 146 98 1 105 1 4 
200 146 98 1 97 1 6 
201 146 98 1 105 1 4 
202 146 98 1 97 1 6 
203 146 99 1 105 1 5 204 146 99 1 105 1 4 205 146 99 1 97 1 6 206 146 98 1 105 1 3 207 146 99 1 105 1 6 208 146 99 1 106 1 6 209 190 98 1 105 1 8 1 5 64 66 103 1 106 1 5 65 67 103 1 105 1 4 66 68 103 1 105 1 4 67 69 103 1 97 1 8 68 70 103 1 106 1 6 69 71 103 1 105 1 5 70 72 103 1 105 1 7 71 73 102 1 105 1 6 72 74 102 1 105 1 6 73 75 102 1 97 1 7 74 76 101 1 105 1 6 75 77 101 1 105 1 5 76 78 100 1 105 1 6 77 79 101 1 105 1 5 78 80 100 1 97 1 6 79 81 100 1 105 1 6 80 83 100 1 97 1 6 81 84 100 1 105 1 4 82 85 99 1 106 1 5 83 86 100 1 97 1 7 84 87 100 1 106 1 5 85 88 100 1 105 1 5 86 89 100 1 105 1 4 87 90 100 1 105 1 4 88 91 100 1 105 1 5 89 92 100 1 97 1 5 90 93 100 1 105 1 4 91 94 100 1 105 1 4 92 95 99 1 105 1 5 93 96 99 1 106 1 5 94 97 98 1 105 1 5 95 98 99 1 105 1 5 96 99 99 1 106 1 4 97 100 98 1 105 1 5 98 101 98 1 105 1 6 99 102 99 1 105 1 6 100 103 98 1 105 1 5 101 104 99 1 105 1 5 102 105 100 1 97 1 6 103 106 99 1 105 1 5 104 107 100 1 106 1 4 105 108 98 1 105 1 4 106 109 99 1 105 1 5 107 110 97 1 105 1 5 108 111 97 1 105 1 6 109 112 98 1 97 1 7 110 113 97 1 105 1 5 111 114 97 1 105 1 5 112 115 97 1 97 1 7 113 116 98 1 105 1 5 114 117 97 1 105 1 6 115 118 97 1 105 1 6 116 119 97 1 105 1 6 117 120 97 1 105 1 6 118 121 97 1 105 1 7 119 124 97 1 105 1 6 120 125 99 1 105 1 7 121 126 98 1 105 1 6 122 127 98 1 97 1 8 123 128 98 1 105 1 6 124 129 98 1 105 1 5 125 130 98 1 105 1 5 126 131 98 1 105 1 5 127 132 98 1 105 1 6 128 133 98 1 97 1 7 129 134 99 1 97 1 7 130 135 99 1 105 1 5 131 136 99 1 105 1 5 132 137 99 1 105 1 6 133 138 99 1 105 1 6 134 139 99 1 105 1 6 135 140 98 1 105 1 5 136 141 98 1 97 1 6 137 142 99 1 105 1 5 138 143 98 1 105 1 5 139 144 99 1 105 1 5 140 145 98 1 105 1 5 141 146 98 1 105 1 6 142 146 98 1 105 1 5 143 146 98 1 105 1 5 144 146 98 1 105 1 6 145 146 98 1 105 1 6 146 146  
