LoRa Sender
The values inside the EEPROM are : 
18 44 83 84 56 95 55 
1 35 18 42 89 95 55 
2 35 19 43 88 95 55 
3 35 19 47 88 95 55 
4 35 19 45 88 95 55 
5 35 19 42 87 95 55 
6 35 19 44 87 95 55 
7 35 19 43 87 95 55 
8 35 19 47 87 95 55 
9 35 19 42 87 95 56 
10 35 19 40 86 95 55 
11 35 19 47 86 95 56 
12 35 19 42 86 95 56 
13 35 19 41 86 95 56 
14 35 19 40 86 95 56 
15 35 19 42 86 95 56 
16 35 19 43 86 95 56 
17 35 19 41 85 95 56 
18 35 19 44 85 95 56 
19 35 19 44 85 95 56 
20 35 19 41 85 95 56 
21 35 19 47 85 95 56 
22 35 19 47 85 95 56 
23 35 19 47 85 95 56 
24 35 19 46 85 95 56 
25 36 19 44 85 95 56 
26 35 19 45 85 95 56 
27 35 19 44 85 95 56 
28 36 19 47 84 95 56 
29 36 19 41 84 95 56 
30 36 19 41 84 95 56 
31 36 19 47 84 95 56 
32 36 19 47 84 95 56 
33 36 19 45 84 95 56 
34 36 19 42 84 95 56 
35 36 19 47 84 95 56 
36 36 19 43 84 95 56 
37 36 19 41 84 95 56 
38 36 19 45 84 95 56 
39 36 19 40 84 95 56 
40 36 19 43 84 95 56 
41 36 19 47 84 95 56 
42 36 19 42 84 95 56 
43 36 19 43 84 95 56 
44 36 19 47 84 95 56 
45 36 19 45 84 95 56 
46 36 19 45 84 95 56 
47 36 19 45 84 95 56 
48 36 19 46 84 95 56 
49 36 19 47 84 95 56 
50 36 19 43 84 95 56 
51 36 19 47 84 95 56 
52 36 19 43 84 95 56 
53 36 19 41 84 95 56 
54 36 19 44 84 95 56 
55 36 19 47 84 95 56 
56 36 19 42 84 95 56 
57 36 19 44 84 95 56 
58 36 19 47 84 95 56 
59 36 19 41 84 95 56 
60 36 19 42 83 95 56 
61 36 19 47 83 95 56 
62 36 19 44 83 95 56 
63 36 19 48 83 95 56 
64 36 19 41 83 95 56 
65 36 19 47 83 95 56 
66 36 19 41 83 95 56 
67 36 19 44 83 95 56 
68 36 19 42 83 95 56 
69 36 19 42 83 95 56 
70 36 19 48 83 95 56 
71 36 19 48 83 95 56 
72 36 19 44 83 95 56 
73 36 19 42 83 95 56 
74 36 19 44 83 95 56 
75 36 19 47 83 95 56 
76 36 19 42 83 95 56 
77 36 19 46 83 95 56 
78 36 19 42 83 95 56 
79 36 19 42 83 95 56 
80 36 19 47 83 103 56 
81 37 18 42 83 95 56 
82 37 18 44 83 95 56 
83 37 18 42 83 95 56 
84 37 18 43 83 95 56 
85 37 18 42 83 95 56 
86 37 18 43 83 95 56 
87 37 18 44 83 95 56 
88 37 18 47 83 95 56 
89 37 18 48 83 95 56 
90 37 18 42 83 95 56 
91 37 18 41 83 95 56 
92 37 18 48 83 95 56 
93 37 18 43 83 95 56 
94 37 18 46 83 97 56 
95 37 18 45 83 95 56 
96 37 18 48 83 95 56 
97 37 18 48 83 95 56 
98 37 18 43 83 95 56 
99 37 18 44 83 95 56 
100 37 18 48 83 95 56 
101 37 18 42 83 95 56 
102 37 18 43 83 95 56 
103 37 18 42 83 95 56 
104 37 18 42 83 95 56 
105 37 18 42 83 95 56 
106 37 18 42 83 95 56 
107 37 18 48 83 95 56 
108 37 18 42 83 95 56 
109 37 18 42 83 95 56 
110 37 18 48 83 95 56 
111 37 18 48 83 95 56 
112 37 18 42 83 95 56 
113 37 18 45 83 95 56 
114 37 18 48 83 95 56 
115 37 18 42 83 95 56 
116 37 18 43 83 95 56 
117 37 18 48 83 95 56 
118 37 18 47 83 95 56 
119 37 18 48 83 95 56 
120 37 18 43 83 95 56 
121 37 18 48 83 95 56 
122 37 18 42 83 95 56 
123 37 18 43 83 95 56 
124 37 18 49 83 95 56 
125 37 18 43 83 95 56 
126 37 18 46 83 95 56 
127 37 18 44 83 95 56 
128 37 18 43 83 95 56 
129 37 18 43 83 85 56 
130 37 18 42 83 84 56 
131 37 18 47 83 85 56 
132 37 18 44 83 85 56 
133 37 18 47 83 85 56 
134 37 18 45 83 85 56 
135 37 18 42 83 85 56 
136 37 18 48 83 85 56 
137 37 18 43 83 85 56 
138 37 18 42 83 85 56 
139 37 18 42 83 85 56 
140 37 18 49 83 85 56 
141 37 18 47 83 85 56 
142 37 18 42 83 85 56 
143 37 18 47 83 84 56 
144 37 18 46 83 84 56 
145 37 18 48 83 84 56 
