LoRa Sender
The values inside the EEPROM are : 
0 36 36 41 73 88 51 
1 36 19 42 73 88 51 
2 36 20 37 73 88 51 
3 36 20 39 73 88 51 
4 36 20 40 73 88 51 
5 36 20 38 73 88 51 
6 36 20 38 73 88 51 
7 36 20 42 73 88 51 
8 36 20 37 73 88 51 
9 36 20 42 73 89 51 
10 36 20 37 73 89 51 
11 36 20 38 73 89 51 
12 36 20 36 73 89 51 
13 36 20 36 73 89 51 
14 36 20 38 73 89 51 
15 36 20 37 73 89 51 
16 36 20 36 73 89 51 
17 36 20 36 73 89 51 
18 36 20 36 73 88 51 
19 36 20 37 73 88 51 
20 36 20 42 73 88 51 
21 36 20 37 73 88 51 
22 36 20 36 73 88 51 
23 36 20 42 73 88 51 
24 36 20 41 73 88 51 
25 36 20 38 73 89 51 
