LoRa Receiver
The values inside the EEPROM are : 
0 146 118 1 114 0 4 
1 146 118 1 114 0 5 
2 60 120 1 115 0 4 
3 47 120 1 113 0 2 
4 48 120 1 107 0 1 
5 5 123 1 112 0 0 
6 6 123 1 107 0 1 
7 7 123 1 113 0 1 
8 8 123 1 114 0 2 
9 9 123 1 114 0 2 
10 10 122 1 114 0 4
11 11 122 1 114 0 4 
12 12 122 1 108 0 2 
13 13 122 1 114 0 3 
14 14 122 1 114 0 3 
15 15 122 1 107 0 2 
16 16 122 1 107 0 2 
17 17 122 1 114 0 3 
18 18 122 1 113 0 3 
19 19 122 1 114 0 3 
20 20 122 1 108 0 2 
21 21 122 1 113 0 1 
22 22 121 1 113 0 2 
23 23 121 1 113 0 2 
24 24 121 1 113 0 2 
25 25 121 1 113 0 2 
26 26 121 1 113 0 2 
27 27 121 1 113 0 2 
28 28 121 1 114 0 3 
29 29 121 1 114 0 2 
30 30 121 1 114 0 2 
31 31 121 1 107 0 2 
32 32 121 1 114 0 3 
33 33 121 1 114 0 3 
34 34 121 1 114 0 3 
